brand,revenue,production
AM General,1537,1.0029158352058283
ASC Incorporated,232,1.628104865526713
Acura,234,3.3944810197971433
Alfa Romeo,1174,2.3137263791441214
American Motors Corporation,1230,1.2310244555548828
Aston Martin,1873,1.3836160393390928
Audi,18,0.8147247234579107
Aurora Cars Ltd,1609,0.6943042601238422
Autokraft Limited,1021,0.4977311514908246
BMW,1659,0.7018210162637547
BMW Alpina,1931,0.1514428967654038
Bentley,571,0.7590179258725993
Bertone,1922,0.11968420550368085
Bill Dovell Motor Car Company,968,1.179197981843419
Bitter Gmbh and Co. Kg,1763,1.780136212150341
Bugatti,1878,2.4674712359193145
Buick,1093,0.21450143610299602
CCC Engineering,1520,1.5299348266535997
CX Automotive,1935,2.5220062278632818
Cadillac,42,0.1179474167905379
Chevrolet,501,1.1581900216428425
Chrysler,930,1.0120189853039836
Consulier Industries Inc,596,0.03323340211333763
Dabryan Coach Builders Inc,584,2.0953445503362853
Dacia,68,1.1346517989087188
Daewoo,191,0.9861175000842107
Daihatsu,706,0.5507115499444032
Dodge,1725,0.28759358521167605
"E. P. Dutton, Inc.",214,1.2988675996338654
Eagle,533,0.4106077592220708
Environmental Rsch and Devp Corp,366,2.5147696544267433
Evans Automobiles,414,0.6617888728995008
Excalibur Autos,441,1.066704102083651
Federal Coach,399,0.863414213512813
Ferrari,1946,3.0092181542265175
Fiat,965,0.7625175121587081
Fisker,1526,0.48904672239931507
Ford,105,2.3027925694758964
GMC,1066,2.35105406009331
General Motors,1114,0.4133789277698248
Genesis,1109,1.2442539823501275
Geo,1988,1.1007698531988859
Goldacre,1958,1.0338226259230512
Grumman Allied Industries,1498,3.0284276470592695
Grumman Olson,1883,0.9998086122404116
Honda,1699,5.460945013429833
Hummer,1087,1.6345520973726517
Hyundai,205,0.5562022762552578
Import Foreign Auto Sales Inc,1224,0.8773032502437899
Import Trade Services,1530,2.729323057945287
Infiniti,48,0.8977422644256904
Isis Imports Ltd,737,0.3826472295738902
Isuzu,1300,1.1019239681850652
J.K. Motors,1552,0.7579719003581618
"JBA Motorcars, Inc.",1388,3.6671335096064186
Jaguar,531,0.5422400625377399
Jeep,1044,2.3249609938154343
Kia,731,0.514931092081628
Laforza Automobile Inc,797,0.08221066890652652
Lambda Control Systems,923,1.627063627416212
Lamborghini,1075,0.18985045028809516
Land Rover,1168,1.2137513188526932
Lexus,1229,0.16524234413892588
Lincoln,774,2.1661840441161115
London Coach Co Inc,1075,0.9229047989308888
London Taxi,273,1.5756055816188261
Lotus,45,0.2114556624780479
MINI,209,1.312205660988191
Mahindra,331,0.8955638412667433
Maserati,1575,0.839880478985655
Maybach,715,0.23040138892611822
Mazda,69,1.4599251085623404
McLaren Automotive,502,1.4466176206063064
Mcevoy Motors,1617,1.2557020942111812
Mercedes-Benz,1091,0.17049616264986966
Mercury,1521,0.7604413432845087
Merkur,477,0.6376054697162383
Mitsubishi,727,0.4226204666379921
Mobility Ventures LLC,1178,0.7983059740068223
Morgan,1829,1.8581390956951602
Nissan,1344,2.3615812740498052
Oldsmobile,1001,0.484545271530502
PAS Inc - GMC,22,1.8401307978469772
"PAS, Inc",476,1.1002543259685085
Pagani,558,0.6918341156595197
Panos,563,0.9987967554851747
Panoz Auto-Development,1557,3.9541348638456384
Panther Car Company Limited,68,3.1451959826997884
Peugeot,1661,2.7897828847958794
Pininfarina,435,1.214039228577182
Plymouth,1482,0.33470084392208765
Pontiac,31,0.07451985158153411
Porsche,1826,0.557877017532418
Quantum Technologies,314,1.6895908965366597
Qvale,958,0.43411043143403677
Ram,1865,0.41722282950563366
Red Shift Ltd.,1152,0.5958400777464045
Renault,1883,0.8353608274945818
Rolls-Royce,73,1.9246683442962824
Roush Performance,139,2.6031464727833518
Ruf Automobile Gmbh,1622,1.6512048224693876
S and S Coach Company  E.p. Dutton,1841,2.772626847950837
SRT,1658,0.016686423451279787
Saab,382,2.260023525334209
Saleen,1447,0.5800950863713975
Saleen Performance,184,0.09525581592802025
Saturn,347,1.051020001254656
Scion,1767,0.21893763116999954
Shelby,853,0.25034705263416085
Spyker,1369,5.228473491649823
Sterling,1067,0.5431419800949641
Subaru,932,2.6749293042820668
Superior Coaches Div E.p. Dutton,236,1.5307359808747802
Suzuki,893,0.26326955766515026
TVR Engineering Ltd,1511,0.03203675199396842
"Tecstar, LP",272,2.3590137509753517
Texas Coach Company,1123,0.2356352389912028
Toyota,776,0.6706243768591266
VPG,911,0.7980300091664795
Vector,1411,2.7851479246623456
Vixen Motor Company,913,0.41151570190975556
Volga Associated Automobile,1965,0.04337666538502441
Volkswagen,273,1.0333164802850847
Volvo,1312,0.057453872067669665
Wallace Environmental,277,5.744609217577183
Yugo,508,0.5209527121910289
smart,447,2.229252978486179
